EREIGNISJAHR_N;Bezirk;GESCHLECHT_CD_T;alt7;anzTF
2010;246;M;15;138
2010;246;M;16;210
2010;246;M;17;290
2010;246;M;18;287
2010;246;M;19;183
2010;246;M;20;66
2010;247;F;1;2
2010;247;F;7;1
2010;247;F;8;1
2010;247;F;9;5
2010;247;F;10;2
2010;247;F;11;9
2010;247;F;12;7
2010;247;F;13;13
2010;247;F;14;23
2010;247;F;15;29
2010;247;F;16;49
2010;247;F;17;89
2010;247;F;18;126
2010;247;F;19;103
2010;247;F;20;53
2010;247;M;1;2
2010;247;M;3;1
2010;247;M;4;1
2010;247;M;8;4
2010;247;M;9;6
2010;247;M;10;10
2010;247;M;11;11
2010;247;M;12;18
2010;247;M;13;37
2010;247;M;14;39
2010;247;M;15;47
2010;247;M;16;62
2010;247;M;17;77
2010;247;M;18;82
2010;247;M;19;53
2010;247;M;20;23
2010;248;F;5;1
2010;248;F;6;1
2010;248;F;7;2
2010;248;F;9;2
2010;248;F;10;1
2010;248;F;11;1
2010;248;F;12;2
2010;248;F;13;1
2010;248;F;14;1
2010;248;F;15;2
2010;248;F;16;9
2010;248;F;17;15
2010;248;F;18;18
2010;248;F;19;15
2010;248;F;20;11
2010;248;M;1;1
2010;248;M;7;1
2010;248;M;11;3
2010;248;M;12;6
2010;248;M;13;5
2010;248;M;14;5
2010;248;M;15;5
2010;248;M;16;14
2010;248;M;17;14
2010;248;M;18;16
2010;248;M;19;11
2010;249;F;1;2
2010;249;F;6;1
2010;249;F;9;2
2010;249;F;10;2
2010;249;F;11;3
2010;249;F;12;3
2010;249;F;13;9
2010;249;F;14;3
2010;249;F;15;9
2010;249;F;16;22
2010;249;F;17;28
2010;249;F;18;44
2010;249;F;19;35
2010;249;F;20;26
2010;249;M;5;1
2010;249;M;6;2
2010;249;M;7;1
2010;249;M;9;3
2010;249;M;10;7
2010;249;M;11;7
2010;249;M;12;5
2010;249;M;13;11
2010;249;M;14;16
2010;249;M;15;11
2010;249;M;16;29
2010;249;M;17;21
2010;249;M;18;41
2010;249;M;19;25
2010;249;M;20;5
2010;250;F;6;1
2010;250;F;8;1
2010;250;F;9;3
2010;250;F;10;1
2010;250;F;11;2
2010;250;F;12;6
2010;250;F;13;6
2010;250;F;14;8
2010;250;F;15;11
2010;250;F;16;29
2010;250;F;17;38
2010;250;F;18;60
2010;250;F;19;48
2010;250;F;20;21
2010;250;M;1;2
2010;250;M;4;3
2010;250;M;5;3
2010;250;M;6;1
2010;250;M;8;1
2010;250;M;9;3
2010;250;M;10;2
2010;250;M;11;6
2010;250;M;12;6
2010;250;M;13;18
2010;250;M;14;18
2010;250;M;15;19
2010;250;M;16;25
2010;250;M;17;46
2010;250;M;18;44
2010;250;M;19;24
2010;250;M;20;7
2010;311;F;1;1
2010;311;F;3;1
2010;311;F;9;2
2010;311;F;10;1
2010;311;F;11;4
2010;311;F;12;4
2010;311;F;13;6
2010;311;F;14;10
2010;311;F;15;28
2010;311;F;16;57
2010;311;F;17;80
2010;311;F;18;92
2010;311;F;19;92
2010;311;F;20;38
2010;311;M;1;5
2010;311;M;2;1
2010;311;M;5;2
2010;311;M;6;3
2010;311;M;7;4
2010;311;M;8;3
2010;311;M;9;1
2010;311;M;10;8
2010;311;M;11;13
2010;311;M;12;8
2010;311;M;13;23
2010;311;M;14;16
2010;311;M;15;29
2010;311;M;16;55
2010;311;M;17;59
2010;311;M;18;61
2010;311;M;19;35
2010;311;M;20;25
2010;312;F;1;1
2010;312;F;3;1
2010;312;F;6;1
2010;312;F;8;1
2010;312;F;9;3
2010;312;F;10;7
2010;312;F;11;2
2010;312;F;12;10
2010;312;F;13;12
2010;312;F;14;15
2010;312;F;15;15
2010;312;F;16;35
2010;312;F;17;47
2010;312;F;18;85
2010;312;F;19;57
2010;312;F;20;29
2010;312;M;1;2
2010;312;M;5;4
2010;312;M;6;2
2010;312;M;7;1
2010;312;M;8;6
2010;312;M;9;5
2010;312;M;10;13
2010;312;M;11;9
2010;312;M;12;13
2010;312;M;13;19
2010;312;M;14;21
2010;312;M;15;39
2010;312;M;16;54
2010;312;M;17;59
2010;312;M;18;59
2010;312;M;19;27
2010;312;M;20;9
2010;313;F;1;1
2010;313;F;7;1
2010;313;F;8;1
2010;313;F;9;1
2010;313;F;10;6
2010;313;F;11;6
2010;313;F;12;4
2010;313;F;13;12
2010;313;F;14;12
2010;313;F;15;10
2010;313;F;16;26
2010;313;F;17;40
2010;313;F;18;54
2010;313;F;19;40
2010;313;F;20;16
2010;313;M;1;1
2010;313;M;7;2
2010;313;M;9;1
2010;313;M;10;1
2010;313;M;11;13
2010;313;M;12;10
2010;313;M;13;14
2010;313;M;14;21
2010;313;M;15;21
2010;313;M;16;30
2010;313;M;17;37
2010;313;M;18;39
2010;313;M;19;17
2010;313;M;20;7
2010;314;F;1;1
2010;314;F;4;1
2010;314;F;6;1
2010;314;F;8;1
2010;314;F;9;1
2010;314;F;10;1
2010;314;F;11;8
2010;314;F;12;4
2010;314;F;13;6
2010;314;F;14;4
2010;314;F;15;19
2010;314;F;16;15
2010;314;F;17;32
2010;314;F;18;35
2010;314;F;19;29
2010;314;F;20;25
2010;314;M;1;3
2010;314;M;4;1
2010;314;M;5;1
2010;314;M;6;2
2010;314;M;9;3
2010;314;M;10;4
2010;314;M;11;7
2010;314;M;12;7
2010;314;M;13;14
2010;314;M;14;18
2010;314;M;15;23
2010;314;M;16;30
2010;314;M;17;34
2010;314;M;18;28
2010;314;M;19;13
2010;314;M;20;6
2010;315;F;1;1
2010;315;F;2;1
2010;315;F;7;1
2010;315;F;9;5
2010;315;F;10;4
2010;315;F;11;2
2010;315;F;12;9
2010;315;F;13;5
2010;315;F;14;9
2010;315;F;15;13
2010;315;F;16;16
2010;315;F;17;33
2010;315;F;18;50
2010;315;F;19;44
2010;315;F;20;14
2010;315;M;1;2
2010;315;M;2;1
2010;315;M;5;1
2010;315;M;6;2
2010;315;M;9;3
2010;315;M;10;3
2010;315;M;11;5
2010;315;M;12;15
2010;315;M;13;12
2010;315;M;14;10
2010;315;M;15;14
2010;315;M;16;34
2010;315;M;17;32
2010;315;M;18;18
2010;315;M;19;19
2010;315;M;20;1
2010;316;F;1;1
2010;316;F;10;2
2010;316;F;11;3
2010;316;F;12;1
2010;316;F;13;1
2010;316;F;14;3
2010;316;F;15;5
2010;316;F;16;11
2010;316;F;17;16
2010;316;F;18;27
2010;316;F;19;17
2010;316;F;20;10
2010;316;M;7;2
2010;316;M;8;1
2010;316;M;9;1
2010;316;M;10;1
2010;316;M;11;3
2010;316;M;12;5
2010;316;M;13;4
2010;316;M;14;5
2010;316;M;15;15
2010;316;M;16;13
2010;316;M;17;19
2010;316;M;18;14
2010;316;M;19;8
2010;316;M;20;4
2010;400;F;1;2
2010;400;F;8;1
2010;400;F;10;3
2010;400;F;11;4
2010;400;F;12;3
2010;400;F;13;8
2010;400;F;14;6
2010;400;F;15;14
2010;400;F;16;16
2010;400;F;17;29
2010;400;F;18;33
2010;400;F;19;41
2010;400;F;20;15
2010;400;M;8;1
2010;400;M;9;2
2010;400;M;10;1
2010;400;M;11;8
2010;400;M;12;7
2010;400;M;13;7
2010;400;M;14;13
2010;400;M;15;12
2010;400;M;16;26
2010;400;M;17;29
2010;400;M;18;37
2010;400;M;19;24
2010;400;M;20;7
2010;501;F;1;1
2010;501;F;6;1
2010;501;F;10;2
2010;501;F;11;1
2010;501;F;12;1
2010;501;F;13;2
2010;501;F;14;2
2010;501;F;15;5
2010;501;F;16;3
2010;501;F;17;16
2010;501;F;18;9
2010;501;F;19;11
2010;501;F;20;3
2010;501;M;5;1
2010;501;M;8;2
2010;501;M;9;1
2010;501;M;10;1
2010;501;M;11;1
2010;501;M;12;4
2010;501;M;13;7
2010;501;M;14;9
2010;501;M;15;6
2010;501;M;16;10
2010;501;M;17;6
2010;501;M;18;11
2010;501;M;19;4
2010;501;M;20;1
2010;502;F;13;2
2010;502;F;15;1
2010;502;F;17;1
2010;502;F;18;1
2010;502;F;19;1
2010;502;F;20;3
2010;502;M;11;1
2010;502;M;14;1
2010;502;M;16;1
2010;502;M;17;1
2010;502;M;18;1
2010;503;F;10;1
2010;503;F;13;8
2010;503;F;14;3
2010;503;F;15;6
2010;503;F;16;6
2010;503;F;17;11
2010;503;F;18;18
2010;503;F;19;23
2010;503;F;20;6
2010;503;M;8;1
2010;503;M;9;1
2010;503;M;10;2
2010;503;M;11;2
2010;503;M;12;2
2010;503;M;13;12
2010;503;M;14;6
2010;503;M;15;9
2010;503;M;16;15
2010;503;M;17;17
2010;503;M;18;15
2010;503;M;19;9
2010;504;F;11;1
2010;504;F;12;1
2010;504;F;13;2
2010;504;F;14;3
2010;504;F;15;3
2010;504;F;16;1
2010;504;F;17;7
2010;504;F;18;4
2010;504;F;19;4
2010;504;M;6;1
2010;504;M;7;1
2010;504;M;9;1
2010;504;M;11;1
2010;504;M;12;1
2010;504;M;13;1
2010;504;M;14;6
2010;504;M;15;7
2010;504;M;16;6
2010;504;M;17;3
2010;504;M;18;9
2010;504;M;19;4
2010;504;M;20;1
2010;505;F;1;2
2010;505;F;5;1
2010;505;F;7;1
2010;505;F;9;1
2010;505;F;10;2
2010;505;F;11;3
2010;505;F;12;4
2010;505;F;13;2
2010;505;F;14;6
2010;505;F;15;3
2010;505;F;16;10
2010;505;F;17;20
2010;505;F;18;26
2010;505;F;19;11
2010;505;F;20;9
2010;505;M;5;1
2010;505;M;8;1
2010;505;M;9;4
2010;505;M;10;2
2010;505;M;11;2
2010;505;M;12;5
2010;505;M;13;11
2010;505;M;14;10
2010;505;M;15;15
2010;505;M;16;13
2010;505;M;17;16
2010;505;M;18;13
2010;505;M;19;8
2010;505;M;20;3
2010;506;F;4;2
2010;506;F;6;1
2010;506;F;7;1
2010;506;F;8;1
2010;506;F;9;3
2010;506;F;11;2
2010;506;F;12;2
2010;506;F;13;5
2010;506;F;14;14
2010;506;F;15;10
2010;506;F;16;21
2010;506;F;17;27
2010;506;F;18;44
2010;506;F;19;44
2010;506;F;20;26
2010;506;M;5;1
2010;506;M;6;2
2010;506;M;7;1
2010;506;M;8;2
2010;506;M;9;4
2010;506;M;10;2
2010;506;M;11;2
2010;506;M;12;7
2010;506;M;13;11
2010;506;M;14;15
2010;506;M;15;16
2010;506;M;16;21
2010;506;M;17;38
2010;506;M;18;28
2010;506;M;19;20
2010;506;M;20;6
2010;600;F;5;1
2010;600;F;8;1
2010;600;F;9;1
2010;600;F;10;1
2010;600;F;12;1
2010;600;F;13;3
2010;600;F;14;3
2010;600;F;15;8
2010;600;F;16;13
2010;600;F;17;16
2010;600;F;18;40
2010;600;F;19;20
2010;600;F;20;16
2010;600;M;1;1
2010;600;M;4;1
2010;600;M;8;1
2010;600;M;9;3
2010;600;M;10;4
2010;600;M;11;2
2010;600;M;12;5
2010;600;M;13;8
2010;600;M;14;6
2010;600;M;15;10
2010;600;M;16;16
2010;600;M;17;14
2010;600;M;18;17
2010;600;M;19;13
2010;600;M;20;4
2010;700;F;4;1
2010;700;F;7;2
2010;700;F;9;2
2010;700;F;10;2
2010;700;F;11;3
2010;700;F;12;6
2010;700;F;13;7
2010;700;F;14;6
2010;700;F;15;5
2010;700;F;16;11
2010;700;F;17;27
2010;700;F;18;34
2010;700;F;19;21
2010;700;F;20;16
2010;700;M;1;1
2010;700;M;6;1
2010;700;M;7;1
2010;700;M;8;2
2010;700;M;9;2
2010;700;M;10;3
2010;700;M;11;2
2010;700;M;12;7
2010;700;M;13;13
2010;700;M;14;11
2010;700;M;15;18
2010;700;M;16;16
2010;700;M;17;33
2010;700;M;18;31
2010;700;M;19;10
2010;700;M;20;6
2010;800;F;1;2
2010;800;F;7;1
2010;800;F;10;2
2010;800;F;11;5
2010;800;F;12;4
2010;800;F;13;5
2010;800;F;14;8
2010;800;F;15;12
2010;800;F;16;21
2010;800;F;17;40
2010;800;F;18;44
2010;800;F;19;35
2010;800;F;20;24
2010;800;M;1;2
2010;800;M;6;2
2010;800;M;8;1
2010;800;M;9;3
2010;800;M;10;5
2010;800;M;11;7
2010;800;M;12;12
2010;800;M;13;9
2010;800;M;14;14
2010;800;M;15;14
2010;800;M;16;32
2010;800;M;17;27
2010;800;M;18;40
2010;800;M;19;20
2010;800;M;20;7
2010;900;F;1;2
2010;900;F;4;1
2010;900;F;6;1
2010;900;F;7;1
2010;900;F;8;2
2010;900;F;9;1
2010;900;F;10;1
2010;900;F;11;8
2010;900;F;12;10
2010;900;F;13;16
2010;900;F;14;15
2010;900;F;15;32
2010;900;F;16;28
2010;900;F;17;55
2010;900;F;18;68
2010;900;F;19;76
2010;900;F;20;35
2010;900;M;1;3
2010;900;M;3;1
2010;900;M;8;1
2010;900;M;9;6
2010;900;M;10;9
2010;900;M;11;15
2010;900;M;12;17
2010;900;M;13;19
2010;900;M;14;32
2010;900;M;15;36
2010;900;M;16;42
2010;900;M;17;61
2010;900;M;18;70
2010;900;M;19;25
2010;900;M;20;10
2010;1001;F;9;1
2010;1001;F;10;1
2010;1001;F;11;3
2010;1001;F;12;3
2010;1001;F;13;4
2010;1001;F;14;3
2010;1001;F;15;3
2010;1001;F;16;10
2010;1001;F;17;10
2010;1001;F;18;16
2010;1001;F;19;16
2010;1001;F;20;3
2010;1001;M;8;2
2010;1001;M;9;1
2010;1001;M;10;3
2010;1001;M;11;4
2010;1001;M;12;8
2010;1001;M;13;9
2010;1001;M;14;8
2010;1001;M;15;9
2010;1001;M;16;14
2010;1001;M;17;7
2010;1001;M;18;16
2010;1001;M;19;3
2010;1001;M;20;2
2010;1002;F;5;1
2010;1002;F;9;1
2010;1002;F;10;2
2010;1002;F;11;4
2010;1002;F;12;4
2010;1002;F;13;4
2010;1002;F;14;4
2010;1002;F;15;2
2010;1002;F;16;7
2010;1002;F;17;17
2010;1002;F;18;20
2010;1002;F;19;12
2010;1002;F;20;6
2010;1002;M;1;1
2010;1002;M;8;3
2010;1002;M;9;1
2010;1002;M;10;1
2010;1002;M;11;4
2010;1002;M;12;5
2010;1002;M;13;8
2010;1002;M;14;2
2010;1002;M;15;12
2010;1002;M;16;12
2010;1002;M;17;13
2010;1002;M;18;9
2010;1002;M;19;4
2010;1003;F;4;1
2010;1003;F;6;2
2010;1003;F;10;1
2010;1003;F;11;3
2010;1003;F;12;7
2010;1003;F;13;6
2010;1003;F;14;8
2010;1003;F;15;16
2010;1003;F;16;13
2010;1003;F;17;26
2010;1003;F;18;38
2010;1003;F;19;27
2010;1003;F;20;16
2010;1003;M;2;2
2010;1003;M;4;1
2010;1003;M;6;1
2010;1003;M;8;2
2010;1003;M;9;4
2010;1003;M;10;4
2010;1003;M;11;9
2010;1003;M;12;14
2010;1003;M;13;17
2010;1003;M;14;11
2010;1003;M;15;13
2010;1003;M;16;27
2010;1003;M;17;24
2010;1003;M;18;23
